Year,Location,Data type,Date,Lease #,Finfish/Shellfish/Reference,NSDFA ID,Soft or Hard Bottom Station ,Latitude,Longitude,Number of Replicates,Mean Redox (mVNHE),Mean Sulphide (µM),Mean Porosity (%),Mean Organic Matter (%),"Presence or absence of visual indicators (Beggiatoa like bacteria, OPC, barreness)",Location 1
2009,Shelburne Harbour,EMP-Level I,"Jul 20, 2009",1192,Fin,SBH44,Soft,43.73495,-65.33135,3,-22,592,83.18,22.04,,"(43.73495, -65.33135)"
2009,Shelburne Harbour,EMP-Level I,"Jul 20, 2009",1192,Fin,SBH45,Soft,43.73552,-65.33055,3,-2,779,82.23,23.03,,"(43.73552, -65.33055)"
2009,Shelburne Harbour,EMP-Level I,"Jul 20, 2009",1192,Fin,SBH70,Soft,43.73392,-65.33102,3,-163,3793,81.16,29.75,,"(43.73392, -65.33102)"
2009,Shelburne Harbour,EMP-Level I,"Jul 20, 2009",1192,Fin,SBH78,Soft,43.73528,-65.33268,3,-152,1578,84.46,53.05,,"(43.73528, -65.33268)"
2009,Shelburne Harbour,EMP-Level I,"Jul 20, 2009",1192,Ref,SBH11,Soft,43.73762,-65.33155,2,1,97,48.18,4.68,,"(43.73762, -65.33155)"
2009,Shelburne Harbour,EMP-Level I,"Jul 20, 2009",1192,Ref,SBH15,Soft,43.73133,-65.33102,3,84,58,81.06,18.84,,"(43.73133, -65.33102)"
2009,Shelburne Harbour,EMP-Level I,"Jul 20, 2009",0983,Fin,SBH46,Soft,43.73997,-65.32928,3,-103,1093,87.94,33.36,,"(43.73997, -65.32928)"
2009,Shelburne Harbour,EMP-Level I,"Jul 20, 2009",0983,Fin,SBH47,Soft,43.74097,-65.32843,3,-104,1193,86.37,28.85,,"(43.74097, -65.32843)"
2009,Shelburne Harbour,EMP-Level I,"Jul 20, 2009",0983,Fin,SBH71,Soft,43.73902,-65.32893,3,-60,1360,81.95,21.49,,"(43.73902, -65.32893)"
2009,Shelburne Harbour,EMP-Level I,"Jul 20, 2009",0983,Ref,SBH66,Soft,43.74343,-65.32777,3,-21,277,83.69,21.62,,"(43.74343, -65.32777)"
2009,Shelburne Harbour,EMP-Level I,"Jul 20, 2009",0983,Ref,SBH67,Soft,43.73698,-65.32913,3,99,168,82.94,21.65,,"(43.73698, -65.32913)"
2009,Shelburne Harbour,EMP-Level I,"Jul 21, 2009",0003,Fin,SBH74,Soft,43.74403,-65.32813,3,5,901,83.07,21.13,,"(43.74403, -65.32813)"
2009,Shelburne Harbour,EMP-Level I,"Jul 21, 2009",0003,Fin,SBH75,Soft,43.74445,-65.3287,3,-60,4390,82.31,23.09,,"(43.74445, -65.3287)"
2009,Shelburne Harbour,EMP-Level I,"Jul 21, 2009",0003,Fin,SBH76,Soft,43.74473,-65.32803,3,9,225,82.88,21.88,,"(43.74473, -65.32803)"
2009,Shelburne Harbour,EMP-Level I,"Jul 21, 2009",0003,Ref,SBH72,Soft,43.7419,-65.3288,3,-37,739,81.95,23.11,,"(43.7419, -65.3288)"
2009,Shelburne Harbour,EMP-Level I,"Jul 21, 2009",0003,Ref,SBH77,Soft,43.74633,-65.32798,3,72,113,83.16,21.75,,"(43.74633, -65.32798)"
2009,Shelburne Harbour,EMP-Level II,"Sep 16, 2009",0003,Fin,SBH76,Soft,43.74467,-65.328,3,-178,4723,,,,"(43.74467, -65.328)"
2009,Shelburne Harbour,EMP-Level II,"Sep 16, 2009",0003,Fin,SBH79,Soft,43.7447,-65.32835,3,-176,5293,,,,"(43.7447, -65.32835)"
2009,Shelburne Harbour,EMP-Level II,"Sep 16, 2009",0003,Fin,SBH81,Soft,43.74417,-65.32805,3,-180,4523,,,,"(43.74417, -65.32805)"
2009,Shelburne Harbour,EMP-Level II,"Sep 16, 2009",0003,Fin,SBH82,Soft,43.74418,-65.32853,3,-177,5800,,,,"(43.74418, -65.32853)"
2009,Shelburne Harbour,EMP-Level II,"Sep 16, 2009",0003,Fin,SBH83,Soft,43.74403,-65.32858,3,-71,170,,,,"(43.74403, -65.32858)"
2009,Shelburne Harbour,EMP-Level II,"Sep 16, 2009",0003,Fin,SBH84,Soft,43.7448,-65.32852,3,21,266,,,,"(43.7448, -65.32852)"
2009,Shelburne Harbour,EMP-Level II,"Sep 16, 2009",0003,Fin,SBH85,Soft,43.74468,-65.32657,3,46,217,,,,"(43.74468, -65.32657)"
2009,Shelburne Harbour,EMP-Level II,"Sep 16, 2009",0003,Fin,SBH86,Soft,43.74403,-65.3264,3,133,109,,,,"(43.74403, -65.3264)"
2009,Shelburne Harbour,EMP-Level II,"Sep 16, 2009",0003,Fin,SBH87,Soft,43.7442,-65.32463,3,102,118,,,,"(43.7442, -65.32463)"
2009,Shelburne Harbour,EMP-Level II,"Sep 16, 2009",0003,Fin,SBH88,Soft,43.7447,-65.33097,3,267,5,,,,"(43.7447, -65.33097)"
2009,Shelburne Harbour,EMP-Level II,"Sep 16, 2009",1192,Fin,SBH43,Soft,43.73398,-65.33125,3,2,121,,,,"(43.73398, -65.33125)"
2009,Shelburne Harbour,EMP-Level II,"Sep 16, 2009",1192,Fin,SBH45,Soft,43.73553,-65.33045,3,-119,120,,,,"(43.73553, -65.33045)"
2009,Shelburne Harbour,EMP-Level II,"Sep 16, 2009",1192,Fin,SBH90,Soft,43.73432,-65.33082,3,-165,1082,,,,"(43.73432, -65.33082)"
2009,Shelburne Harbour,EMP-Level II,"Sep 16, 2009",1192,Fin,SBH91,Soft,43.73362,-65.33068,3,-132,755,,,,"(43.73362, -65.33068)"
2009,Shelburne Harbour,EMP-Level II,"Sep 16, 2009",1192,Fin,SBH92,Soft,43.73407,-65.33203,3,-85,390,,,,"(43.73407, -65.33203)"
2009,Shelburne Harbour,EMP-Level II,"Sep 16, 2009",1192,Fin,SBH93,Soft,43.73568,-65.33153,3,-176,1733,,,,"(43.73568, -65.33153)"
2009,Lobster Bay,EMP-Level I,"Jul 26, 2009",0899,Fin,LLB35,Soft,43.68558,-65.83655,3,-80,128,,6.27,,"(43.68558, -65.83655)"
2009,Lobster Bay,EMP-Level I,"Jul 26, 2009",0899,Fin,LLB36,Soft,43.68593,-65.8366,2,-3,59,,,,"(43.68593, -65.8366)"
2009,Lobster Bay,EMP-Level I,"Jul 26, 2009",0899,Fin,LLB37,Soft,43.68527,-65.8365,2,99,64,,,,"(43.68527, -65.8365)"
2009,Lobster Bay,EMP-Level I,"Jul 26, 2009",0899,Ref,LLB39,Soft,43.68427,-65.8368,3,-16,62,,8.01,,"(43.68427, -65.8368)"
2009,Lobster Bay,EMP-Level I,"Jul 26, 2009",0900,Fin,LLB15,Soft,43.67612,-65.82482,3,-68,219,,,,"(43.67612, -65.82482)"
2009,Lobster Bay,EMP-Level I,"Jul 26, 2009",0900,Fin,LLB16,Soft,43.67702,-65.82507,3,-73,117,,,,"(43.67702, -65.82507)"
2009,Lobster Bay,EMP-Level I,"Jul 26, 2009",0900,Fin,LLB17,Soft,43.67773,-65.8252,3,48,43,,,,"(43.67773, -65.8252)"
2009,Lobster Bay,EMP-Level I,"Jul 26, 2009",0900,Ref,LLB27,Soft,43.67512,-65.82465,3,9,46,,,,"(43.67512, -65.82465)"
2009,Lobster Bay,EMP-Level I,"Jul 26, 2009",0900,Ref,LLB28,Soft,43.6788,-65.82573,3,7,46,,,,"(43.6788, -65.82573)"
2009,Annapolis Basin,EMP-Level I,"Aug 18, 2009",1039,Fin,ANB02,Soft,44.65537,-65.75582,3,-135,831,,,,"(44.65537, -65.75582)"
2009,Annapolis Basin,EMP-Level I,"Aug 18, 2009",1039,Fin,ANB03,Soft,44.65368,-65.75515,3,-90,390,,,,"(44.65368, -65.75515)"
2009,Annapolis Basin,EMP-Level I,"Aug 18, 2009",1039,Fin,ANB04,Soft,44.65268,-65.75578,3,-93,520,,,,"(44.65268, -65.75578)"
2009,St. Mary's Bay,EMP-Level I,"Aug 17, 2009",1012,Fin,STM01,Soft,44.40785,-66.16032,3,-20,37,49.3,4.08,,"(44.40785, -66.16032)"
2009,St. Mary's Bay,EMP-Level I,"Aug 17, 2009",1012,Fin,STM12,Soft,44.40655,-66.16068,3,65,125,55.27,4.06,,"(44.40655, -66.16068)"
2009,St. Mary's Bay,EMP-Level I,"Aug 17, 2009",1012,Fin,STM20,Soft,44.40942,-66.15943,3,41,16,46.1,4.04,,"(44.40942, -66.15943)"
2009,St. Mary's Bay,EMP-Level I,"Aug 17, 2009",1012,Ref,STM08,Soft,44.40398,-66.16247,3,115,128,56.13,4.31,,"(44.40398, -66.16247)"
2009,St. Mary's Bay,EMP-Level I,"Aug 17, 2009",1012,Ref,STM09,Soft,44.41208,-66.15647,3,-13,37,43.63,3.66,,"(44.41208, -66.15647)"
2009,Brier Island,EMP-Level I,"Aug 31, 2009",0742,Fin,BRI02,Soft,44.26097,-66.34683,3,-91,1824,67.4,26.6,,"(44.26097, -66.34683)"
2009,Brier Island,EMP-Level I,"Aug 31, 2009",0742,Fin,BRI18,Soft,44.26138,-66.34682,1,-103,662,,,,"(44.26138, -66.34682)"
2009,Brier Island,EMP-Level I,"Aug 31, 2009",0742,Ref,BRI16,Soft,44.26285,-66.34688,2,61,53,23,1.86,,"(44.26285, -66.34688)"
2009,Brier Island,EMP-Level I,"Aug 31, 2009",0742,Ref,BRI17,Soft,44.26013,-66.34655,3,164,31,21.73,1.22,,"(44.26013, -66.34655)"
2009,St. Anns Harbour,EMP-Level I,"Oct 15, 2009",1186,Shell,STA68,Soft,46.23642,-60.58197,1,-236,135,82.1,13.2,,"(46.23642, -60.58197)"
2009,St. Anns Harbour,EMP-Level I,"Oct 15, 2009",1186,Shell,STA69,Soft,46.23727,-60.58241,1,-189,260,85.4,14.6,,"(46.23727, -60.58241)"
2009,St. Anns Harbour,EMP-Level I,"Oct 15, 2009",1186,Shell,STA121,Soft,46.25467,-60.58172,1,-196,419,84.4,14.2,,"(46.25467, -60.58172)"
2009,St. Anns Harbour,EMP-Level I,"Oct 15, 2009",1187,Shell,STA75,Soft,46.27095,-60.56273,1,-293,111,75.9,10.6,,"(46.27095, -60.56273)"
2009,St. Anns Harbour,EMP-Level I,"Oct 15, 2009",1187,Shell,STA113,Soft,46.2448,-60.57374,1,-246,520,76.7,10.4,,"(46.2448, -60.57374)"
2009,St. Anns Harbour,EMP-Level I,"Oct 15, 2009",1187,Shell,STA126,Soft,46.26966,-60.55485,1,-236,494,80.1,11.5,,"(46.26966, -60.55485)"
2009,St. Anns Harbour,EMP-Level I,"Oct 15, 2009",1188,Shell,STA109,Soft,46.2651,-60.55756,1,-282,91,71.8,8.8,,"(46.2651, -60.55756)"
2009,St. Anns Harbour,EMP-Level I,"Oct 15, 2009",1188,Shell,STA110,Soft,46.26112,-60.5601,1,-173,241,71.9,8.3,,"(46.26112, -60.5601)"
2009,St. Anns Harbour,EMP-Level I,"Oct 15, 2009",1188,Shell,STA73,Soft,46.25414,-60.56583,1,-227,142,75.3,9.6,,"(46.25414, -60.56583)"
2009,St. Anns Harbour,EMP-Level I,"Oct 15, 2009",1189,Shell,STA71,Soft,46.23989,-60.58505,1,-126,524,83.2,14.1,,"(46.23989, -60.58505)"
2009,St. Anns Harbour,EMP-Level I,"Oct 15, 2009",1189,Shell,STA72,Soft,46.24443,-60.57414,1,-169,290,81.5,13.1,,"(46.24443, -60.57414)"
2009,St. Anns Harbour,EMP-Level I,"Oct 15, 2009",1189,Shell,STA73,Soft,46.25414,-60.56583,1,-201,297,82.1,13.5,,"(46.25414, -60.56583)"
2009,St. Anns Harbour,EMP-Level I,"Oct 15, 2009",1186/1187/1188/1189,Ref,STA75,Soft,46.27095,-60.56273,1,-21,258,56.2,5.3,,"(46.27095, -60.56273)"
2009,St. Anns Harbour,EMP-Level I,"Oct 15, 2009",1186/1187/1188/1189,Ref,STA76,Soft,46.25593,-60.57393,1,84,311,81.3,11.8,,"(46.25593, -60.57393)"
2009,St. Anns Harbour,EMP-Level I,"Oct 15, 2009",1186/1187/1188/1189,Ref,STA102,Soft,46.23986,-60.58495,1,-82,388,84.5,13.9,,"(46.23986, -60.58495)"
2010,Port Mouton,EMP-Level I,"Jun 17, 2010",0835,Fin,AFF09,Soft,43.91479,-64.81114,3,-207,1031,68.53,14.6,,"(43.91479, -64.81114)"
2010,Port Mouton,EMP-Level I,"Jun 17, 2010",0835,Fin,PTM14,Soft,43.91487,-64.81188,3,-301,3953,70.4,19.1,,"(43.91487, -64.81188)"
2010,Port Mouton,EMP-Level I,"Jun 17, 2010",0835,Fin,PTM16,Soft,43.91407,-64.81299,3,-128,666,63.4,10.55,,"(43.91407, -64.81299)"
2010,Port Mouton,EMP-Level I,"Jun 17, 2010",0835,Fin,PTM28,Soft,43.91436,-64.81236,3,-262,1430,69.13,16.37,,"(43.91436, -64.81236)"
2010,Port Mouton,EMP-Level I,"Jun 17, 2010",0835,Fin,PTM39,Soft,43.91553,-64.81146,3,-162,764,65.17,22.07,,"(43.91553, -64.81146)"
2010,Port Mouton,EMP-Level I,"Jun 17, 2010",0835,Fin,PTM44,Soft,43.91534,-64.81061,3,-308,1447,68.2,17.6,,"(43.91534, -64.81061)"
2010,Port Mouton,EMP-Level I,"Jun 17, 2010",0835,Ref,PTM11,Soft,43.91803,-64.80847,3,-209,113,57.63,7.2,,"(43.91803, -64.80847)"
2010,Port Mouton,EMP-Level I,"Jun 17, 2010",0835,Ref,PTM17,Soft,43.91319,-64.81429,3,-43,279,65.8,16.42,,"(43.91319, -64.81429)"
2010,Liverpool Bay,EMP-Level I,"Jul 07, 2010",1205,Fin,LVP07,Soft,44.04283,-64.63938,3,-91,68,21.4,1.2,,"(44.04283, -64.63938)"
2010,Liverpool Bay,EMP-Level I,"Jul 07, 2010",1205,Fin,LVP10,Soft,44.04282,-64.64018,3,-329,1891,22.47,1.66,,"(44.04282, -64.64018)"
2010,Liverpool Bay,EMP-Level I,"Jul 07, 2010",1205,Fin,LVP27,Soft,44.04278,-64.64112,3,-235,263,20.53,1.16,,"(44.04278, -64.64112)"
2010,Liverpool Bay,EMP-Level I,"Jul 07, 2010",1205,Fin,LVP28,Soft,44.04192,-64.64082,3,-323,2710,20.67,2.21,,"(44.04192, -64.64082)"
2010,Liverpool Bay,EMP-Level I,"Jul 07, 2010",1205,Fin,LVP29,Soft,44.04205,-64.6396,3,-286,1525,22.73,1.53,,"(44.04205, -64.6396)"
2010,Liverpool Bay,EMP-Level I,"Jul 07, 2010",1205,Fin,LVP30,Soft,44.04335,-64.64102,3,-200,541,21.2,1.15,,"(44.04335, -64.64102)"
2010,Liverpool Bay,EMP-Level I,"Jul 07, 2010",1205,Ref,LVP04,Soft,44.03937,-64.64,3,10,0,20.67,13.33,,"(44.03937, -64.64)"
2010,Liverpool Bay,EMP-Level I,"Jul 07, 2010",1205,Ref,LVP06,Soft,44.045,-64.63895,3,-106,31,21.9,1.42,,"(44.045, -64.63895)"
2010,Aspotogan Harbour,EMP-Level I,"Jul 06, 2010",1006,Fin,APH23,Soft,44.50537,-64.04878,3,-289,1053,25.55,19.88,,"(44.50537, -64.04878)"
2010,Aspotogan Harbour,EMP-Level I,"Jul 06, 2010",1006,Fin,APH24,Soft,44.50498,-64.0506,3,-244,797,36.43,4.47,,"(44.50498, -64.0506)"
2010,Aspotogan Harbour,EMP-Level I,"Jul 06, 2010",1006,Fin,APH25,Soft,44.50557,-64.04948,3,-266,1883,51.6,9.68,,"(44.50557, -64.04948)"
2010,Aspotogan Harbour,EMP-Level I,"Jul 06, 2010",1006,Fin,APH27,Soft,44.50407,-64.04992,3,-297,3293,57.73,14,,"(44.50407, -64.04992)"
2010,Aspotogan Harbour,EMP-Level I,"Jul 06, 2010",1006,Fin,APH36,Soft,44.5048,-64.05023,3,-297,4327,48.47,9.77,,"(44.5048, -64.05023)"
2010,Aspotogan Harbour,EMP-Level I,"Jul 06, 2010",1006,Fin,APH37,Soft,44.50517,-64.04913,3,-320,2937,45.33,8.42,,"(44.50517, -64.04913)"
2010,Aspotogan Harbour,EMP-Level I,"Jul 06, 2010",1006,Fin,APH41,Soft,44.50382,-64.04998,3,-245,2860,41.33,5.22,,"(44.50382, -64.04998)"
2010,Aspotogan Harbour,EMP-Level I,"Jul 06, 2010",1006,Fin,APH42,Soft,44.5036,-64.04947,3,-271,2503,47.73,8.25,,"(44.5036, -64.04947)"
2010,Aspotogan Harbour,EMP-Level I,"Jul 06, 2010",1006,Fin,APH43,Soft,44.50388,-64.04922,3,-213,840,34.87,4.64,,"(44.50388, -64.04922)"
2010,Aspotogan Harbour,EMP-Level I,"Jul 06, 2010",1006,Fin,APH44,Soft,44.50443,-64.04747,3,-241,319,56.33,11.9,,"(44.50443, -64.04747)"
2010,Aspotogan Harbour,EMP-Level I,"Jul 06, 2010",1006,Fin,APH45,Soft,44.50453,-64.04817,3,-277,432,45.57,10.76,,"(44.50453, -64.04817)"
2010,Aspotogan Harbour,EMP-Level I,"Jul 06, 2010",1006,Ref,APH13,Soft,44.5052,-64.04607,3,-285,1078,55.43,10.66,,"(44.5052, -64.04607)"
2010,Aspotogan Harbour,EMP-Level I,"Jul 06, 2010",1006,Ref,APH40,Soft,44.50292,-64.05176,3,-134,1343,46.2,6.85,,"(44.50292, -64.05176)"
2010,Owl's Head,EMP-Level II,"Oct 06, 2010",0772,Fin,OWL32,Soft,44.73572,-62.80669,3,45,592,,,,"(44.73572, -62.80669)"
2010,Owl's Head,EMP-Level II,"Oct 06, 2010",0772,Fin,OWL37,Soft,44.73521,-62.8065,3,136,544,,,,"(44.73521, -62.8065)"
