DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,LaboratoryName,ObjectId
HRM LakeWatchers 2023 Spring Lab Results,BEAB_SD,Beaver Bank Lake Deep Water,44.856944,-63.666389,WGS84,Lake/Pond,Sample-Routine,Surface Water,8/24/2022 0:00,-7,m,"Chlorophyll a, corrected for pheophytin",,,3.67,ug/L,Actual,,,,,"(Welschmeyer, 1994)",DOI,non-acidification method,Dalhousie University,11
HRM Lakes Water Quality Monitoring Data,BEAB_SD,Beaver Bank Lake Deep Water,44.856944,-63.666389,WGS84,Lake/Pond,Sample-Routine,Surface Water,5/10/2022 0:00,,m,"Chlorophyll a, corrected for pheophytin",,,1.33,ug/L,Actual,,,,,"(Welschmeyer, 1994)",DOI,non-acidification method,Dalhousie University,12
HRM Lakes Water Quality Monitoring Data,BEAB_SD,Beaver Bank Lake Deep Water,44.856944,-63.666389,WGS84,Lake/Pond,Sample-Routine,Surface Water,5/10/2022 0:00,,m,"Chlorophyll a, corrected for pheophytin",,,3.84,ug/L,Actual,,,,,"(Welschmeyer, 1994)",DOI,non-acidification method,Dalhousie University,13
HRM Lakes Water Quality Monitoring Data,BEAB_SD,Beaver Bank Lake Deep Water,44.856944,-63.666389,WGS84,Lake/Pond,Sample-Routine,Surface Water,5/9/2022 0:00,,m,Cobalt,,Total,,,Actual,Below Detection/Quantification Limit,0.4,ug/L,Reporting Limit,6020B R2 m,USEPA,ATL SOP 00058,Bureau Veritas (formerly Maxxam),14
HRM LakeWatchers 2023 Spring Lab Results,BEAB_SD,Beaver Bank Lake Deep Water,44.856944,-63.666389,WGS84,Lake/Pond,Sample-Routine,Surface Water,8/24/2022 0:00,-7,m,Chloride,,Dissolved,8.5,mg/L,Actual,,1,mg/L,Reporting Limit,4500-Cl- E m,APHA_SM23ED,ATL SOP 00014,Bureau Veritas (formerly Maxxam),15
HRM LakeWatchers 2023 Spring Lab Results,BEAB_SD,Beaver Bank Lake Deep Water,44.856944,-63.666389,WGS84,Lake/Pond,Sample-Routine,Surface Water,8/16/2023 0:00,-7,m,Chloride,,Dissolved,5.2,mg/L,Actual,,1,mg/L,Reporting Limit,4500-Cl- E m,APHA_SM23ED,ATL SOP 00014,Bureau Veritas (formerly Maxxam),16
HRM Lakes Water Quality Monitoring Data,BEAB_SD,Beaver Bank Lake Deep Water,44.856944,-63.666389,WGS84,Lake/Pond,Sample-Routine,Surface Water,5/10/2022 0:00,,m,"Chlorophyll a, corrected for pheophytin",,,1.32,ug/L,Actual,,,,,"(Holm-Hansen et al., 1965)",DOI,acidification method,Dalhousie University,17
HRM Lakes Water Quality Monitoring Data,BEAB_SD,Beaver Bank Lake Deep Water,44.856944,-63.666389,WGS84,Lake/Pond,Sample-Routine,Surface Water,5/10/2022 0:00,,m,"Chlorophyll a, corrected for pheophytin",,,4.4,ug/L,Actual,,,,,"(Holm-Hansen et al., 1965)",DOI,acidification method,Dalhousie University,18
HRM LakeWatchers 2023 Spring Lab Results,BEAB_SD,Beaver Bank Lake Deep Water,44.856944,-63.666389,WGS84,Lake/Pond,Sample-Routine,Surface Water,8/24/2022 0:00,-7,m,"Chlorophyll a, corrected for pheophytin",,,4.27,ug/L,Actual,,,,,"(Holm-Hansen et al., 1965)",DOI,acidification method,Dalhousie University,19
HRM LakeWatchers 2023 Spring Lab Results,BEAB_SD,Beaver Bank Lake Deep Water,44.856944,-63.666389,WGS84,Lake/Pond,Sample-Routine,Surface Water,8/24/2022 0:00,0,m,"Chlorophyll a, corrected for pheophytin",,,9.04,ug/L,Actual,,,,,"(Holm-Hansen et al., 1965)",DOI,acidification method,Dalhousie University,20
HRM LakeWatchers 2023 Spring Lab Results,BEAB_SD,Beaver Bank Lake Deep Water,44.856944,-63.666389,WGS84,Lake/Pond,Sample-Routine,Surface Water,4/25/2023 0:00,-7,m,"Chlorophyll a, corrected for pheophytin",,,1.7,ug/L,Actual,,,,,"(Holm-Hansen et al., 1965)",DOI,acidification method,Dalhousie University,21
HRM LakeWatchers 2023 Spring Lab Results,BEAB_SD,Beaver Bank Lake Deep Water,44.856944,-63.666389,WGS84,Lake/Pond,Sample-Routine,Surface Water,4/25/2023 0:00,0,m,"Chlorophyll a, corrected for pheophytin",,,3.36,ug/L,Actual,,,,,"(Holm-Hansen et al., 1965)",DOI,acidification method,Dalhousie University,22
HRM LakeWatchers 2023 Spring Lab Results,BEAB_SD,Beaver Bank Lake Deep Water,44.856944,-63.666389,WGS84,Lake/Pond,Sample-Routine,Surface Water,8/16/2023 0:00,-7,m,"Chlorophyll a, corrected for pheophytin",,,12.7,ug/L,Actual,,,,,"(Holm-Hansen et al., 1965)",DOI,acidification method,Dalhousie University,23
HRM LakeWatchers 2023 Spring Lab Results,BEAB_SD,Beaver Bank Lake Deep Water,44.856944,-63.666389,WGS84,Lake/Pond,Sample-Routine,Surface Water,8/16/2023 0:00,0,m,"Chlorophyll a, corrected for pheophytin",,,2.62,ug/L,Actual,,,,,"(Holm-Hansen et al., 1965)",DOI,acidification method,Dalhousie University,24
HRM Lakes Water Quality Monitoring Data,BEAB_SD,Beaver Bank Lake Deep Water,44.856944,-63.666389,WGS84,Lake/Pond,Sample-Routine,Surface Water,5/9/2022 0:00,,m,Chromium,,Total,,,Actual,Below Detection/Quantification Limit,1,ug/L,Reporting Limit,6020B R2 m,USEPA,ATL SOP 00058,Bureau Veritas (formerly Maxxam),25
HRM Lakes Water Quality Monitoring Data,BEAB_SD,Beaver Bank Lake Deep Water,44.856944,-63.666389,WGS84,Lake/Pond,Sample-Routine,Surface Water,5/9/2022 0:00,,m,Copper,,Total,0.76,ug/L,Actual,,0.5,ug/L,Reporting Limit,6020B R2 m,USEPA,ATL SOP 00058,Bureau Veritas (formerly Maxxam),26
HRM Lakes Water Quality Monitoring Data,BEAB_SD,Beaver Bank Lake Deep Water,44.856944,-63.666389,WGS84,Lake/Pond,Sample-Routine,Surface Water,5/9/2022 0:00,,m,Escherichia coli,,,2,CFU/100mL,Actual,,2,CFU/100mL,Reporting Limit,MOE E3371 R2 (2018),,ATL SOP 00097,Bureau Veritas (formerly Maxxam),27
HRM LakeWatchers 2023 Spring Lab Results,BEAB_SD,Beaver Bank Lake Deep Water,44.856944,-63.666389,WGS84,Lake/Pond,Sample-Routine,Surface Water,8/24/2022 0:00,0,m,Escherichia coli,,,2,CFU/100ml,Actual,,2,CFU/100ml,Reporting Limit,MOE E3371 R2 (2018),PROPRIETARY,ATL SOP 00097,Bureau Veritas (formerly Maxxam),28
HRM Lakes Water Quality Monitoring Data,BEAB_OUT,Beaver Bank Lake Outlet,44.851111,-63.663889,WGS84,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,5/9/2022 0:00,0,m,Conductivity,,,0.036,ms/cm,Actual,,,,,,YSI,,,29
HRM Lakes Water Quality Monitoring Data,FIR_OUT,First Lake Outlet,44.766944,-63.651389,WGS84,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,5/10/2022 0:00,0,m,"Temperature, water",,,11.6,deg C,Actual,,,,,,YSI,,,30
HRM LakeWatchers 2023 Spring Lab Results,ALBRO_SD,Albro Lake Deep Water,44.688333,-63.5775,WGS84,Lake/Pond,Sample-Routine,Surface Water,4/18/2023 0:00,0,m,Escherichia coli,,,6,CFU/100ml,Actual,,2,CFU/100ml,Reporting Limit,MOE E3371 R2 (2018),PROPRIETARY,ATL SOP 00097,Bureau Veritas (formerly Maxxam),31
HRM LakeWatchers 2023 Spring Lab Results,ALBRO_SD,Albro Lake Deep Water,44.688333,-63.5775,WGS84,Lake/Pond,Sample-Routine,Surface Water,8/10/2023 0:00,0,m,Escherichia coli,,,56,CFU/100ml,Actual,,2,CFU/100ml,Reporting Limit,MOE E3371 R2 (2018),PROPRIETARY,ATL SOP 00097,Bureau Veritas (formerly Maxxam),32
HRM Lakes Water Quality Monitoring Data,ALBRO_SD,Albro Lake Deep Water,44.688333,-63.5775,WGS84,Lake/Pond,Sample-Routine,Surface Water,4/27/2022 0:00,,m,Lead,,Total,0.86,ug/L,Actual,,0.5,ug/L,Reporting Limit,6020B R2 m,USEPA,ATL SOP 00058,Bureau Veritas (formerly Maxxam),33
HRM Lakes Water Quality Monitoring Data,ALBRO_SD,Albro Lake Deep Water,44.688333,-63.5775,WGS84,Lake/Pond,Sample-Routine,Surface Water,4/27/2022 0:00,,m,Molybdenum,,Total,,,Actual,Below Detection/Quantification Limit,2,ug/L,Reporting Limit,6020B R2 m,USEPA,ATL SOP 00058,Bureau Veritas (formerly Maxxam),34
HRM Lakes Water Quality Monitoring Data,BELL_SD,Bell Lake Deep Water,44.673333,-63.508611,WGS84,Lake/Pond,Sample-Routine,Surface Water,5/6/2022 0:00,,m,Selenium,,Total,,,Actual,Below Detection/Quantification Limit,0.5,ug/L,Reporting Limit,6020B R2 m,USEPA,ATL SOP 00058,Bureau Veritas (formerly Maxxam),35
HRM Lakes Water Quality Monitoring Data,BELL_SD,Bell Lake Deep Water,44.673333,-63.508611,WGS84,Lake/Pond,Sample-Routine,Surface Water,5/6/2022 0:00,,m,Silver,,Total,,,Actual,Below Detection/Quantification Limit,0.1,ug/L,Reporting Limit,6020B R2 m,USEPA,ATL SOP 00058,Bureau Veritas (formerly Maxxam),36
HRM Lakes Water Quality Monitoring Data,BELL_SD,Bell Lake Deep Water,44.673333,-63.508611,WGS84,Lake/Pond,Sample-Routine,Surface Water,5/6/2022 0:00,,m,Sodium,,Total,6100,ug/L,Actual,,100,ug/L,Reporting Limit,6020B R2 m,USEPA,ATL SOP 00058,Bureau Veritas (formerly Maxxam),37
HRM Lakes Water Quality Monitoring Data,BELL_SD,Bell Lake Deep Water,44.673333,-63.508611,WGS84,Lake/Pond,Sample-Routine,Surface Water,5/6/2022 0:00,,m,Strontium,,Total,8.3,ug/L,Actual,,2,ug/L,Reporting Limit,6020B R2 m,USEPA,ATL SOP 00058,Bureau Veritas (formerly Maxxam),38
HRM Lakes Water Quality Monitoring Data,BELL_SD,Bell Lake Deep Water,44.673333,-63.508611,WGS84,Lake/Pond,Sample-Routine,Surface Water,5/6/2022 0:00,,m,Tin,,Total,,,Actual,Below Detection/Quantification Limit,2,ug/L,Reporting Limit,6020B R2 m,USEPA,ATL SOP 00058,Bureau Veritas (formerly Maxxam),39
HRM LakeWatchers 2023 Spring Lab Results,BELL_SD,Bell Lake Deep Water,44.673333,-63.508611,WGS84,Lake/Pond,Sample-Routine,Surface Water,8/15/2022 0:00,-7,m,"Total Phosphorus, mixed forms",as P,Unfiltered,0.0099,mg/L,Actual,,0.001,mg/L,Reporting Limit,"4500-P A,B,F m",APHA_SM23ED,AB SOP-00024,Bureau Veritas (formerly Maxxam),40
HRM LakeWatchers 2023 Spring Lab Results,BELL_SD,Bell Lake Deep Water,44.673333,-63.508611,WGS84,Lake/Pond,Sample-Routine,Surface Water,8/15/2022 0:00,0,m,"Total Phosphorus, mixed forms",as P,Unfiltered,,,Actual,Below Detection/Quantification Limit,0.001,mg/L,Reporting Limit,"4500-P A,B,F m",APHA_SM23ED,AB SOP-00024,Bureau Veritas (formerly Maxxam),41
HRM LakeWatchers 2023 Spring Lab Results,BELL_SD,Bell Lake Deep Water,44.673333,-63.508611,WGS84,Lake/Pond,Sample-Routine,Surface Water,4/17/2023 0:00,-7,m,"Total Phosphorus, mixed forms",as P,Unfiltered,0.0027,mg/L,Actual,,0.001,mg/L,Reporting Limit,"4500-P A,B,F m",APHA_SM23ED,AB SOP-00025,Bureau Veritas (formerly Maxxam),42
HRM LakeWatchers 2023 Spring Lab Results,BELL_SD,Bell Lake Deep Water,44.673333,-63.508611,WGS84,Lake/Pond,Sample-Routine,Surface Water,4/17/2023 0:00,0,m,"Total Phosphorus, mixed forms",as P,Unfiltered,0.0024,mg/L,Actual,,0.001,mg/L,Reporting Limit,"4500-P A,B,F m",APHA_SM23ED,AB SOP-00025,Bureau Veritas (formerly Maxxam),43
HRM LakeWatchers 2023 Spring Lab Results,BELL_SD,Bell Lake Deep Water,44.673333,-63.508611,WGS84,Lake/Pond,Sample-Routine,Surface Water,8/4/2023 0:00,-7,m,"Total Phosphorus, mixed forms",as P,Unfiltered,0.0058,mg/L,Actual,,0.001,mg/L,Reporting Limit,"4500-P A,B,F m",APHA_SM23ED,AB SOP-00025,Bureau Veritas (formerly Maxxam),44
HRM LakeWatchers 2023 Spring Lab Results,BELL_SD,Bell Lake Deep Water,44.673333,-63.508611,WGS84,Lake/Pond,Sample-Routine,Surface Water,8/4/2023 0:00,0,m,"Total Phosphorus, mixed forms",as P,Unfiltered,0.0055,mg/L,Actual,,0.001,mg/L,Reporting Limit,"4500-P A,B,F m",APHA_SM23ED,AB SOP-00025,Bureau Veritas (formerly Maxxam),45
HRM Lakes Water Quality Monitoring Data,BELL_SD,Bell Lake Deep Water,44.673333,-63.508611,WGS84,Lake/Pond,Sample-Routine,Surface Water,5/6/2022 0:00,,m,"Total Phosphorus, mixed forms",as P,Total,0.0035,mg/L,Actual,,0.001,mg/L,Reporting Limit,"SM 23 4500-P A,B,F m",,AB SOP-00024,Bureau Veritas (formerly Maxxam),46
HRM Lakes Water Quality Monitoring Data,BELL_SD,Bell Lake Deep Water,44.673333,-63.508611,WGS84,Lake/Pond,Sample-Routine,Surface Water,5/6/2022 0:00,,m,"Total Phosphorus, mixed forms",as P,Total,0.0028,mg/L,Actual,,0.001,mg/L,Reporting Limit,"SM 23 4500-P A,B,F m",,AB SOP-00024,Bureau Veritas (formerly Maxxam),47
HRM Lakes Water Quality Monitoring Data,BELL_SD,Bell Lake Deep Water,44.673333,-63.508611,WGS84,Lake/Pond,Sample-Routine,Surface Water,5/6/2022 0:00,,m,Uranium,,Total,,,Actual,Below Detection/Quantification Limit,0.1,ug/L,Reporting Limit,6020B R2 m,USEPA,ATL SOP 00058,Bureau Veritas (formerly Maxxam),48
HRM Lakes Water Quality Monitoring Data,ECHO_OUT,Lake Echo Outlet,44.706389,-63.3725,WGS84,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,5/16/2022 0:00,0,m,Conductivity,,,0.026,ms/cm,Actual,,,,,,YSI,,,49
HRM Lakes Water Quality Monitoring Data,ECHO_OUT,Lake Echo Outlet,44.706389,-63.3725,WGS84,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,5/16/2022 0:00,0,m,Dissolved Oxygen (DO),,,9.13,mg/L,Actual,,,,,,YSI,,,50
HRM Lakes Water Quality Monitoring Data,BELL_SD,Bell Lake Deep Water,44.673333,-63.508611,WGS84,Lake/Pond,Sample-Routine,Surface Water,5/6/2022 0:00,,m,Vanadium,,Total,,,Actual,Below Detection/Quantification Limit,2,ug/L,Reporting Limit,6020B R2 m,USEPA,ATL SOP 00058,Bureau Veritas (formerly Maxxam),51
HRM Lakes Water Quality Monitoring Data,BELL_OUT,Bell Lake Outlet,44.671944,-63.506667,WGS84,Lake/Pond,Sample-Routine,Surface Water,5/9/2022 0:00,0,m,"Chlorophyll a, corrected for pheophytin",,,1.62,ug/L,Actual,,,,,"(Holm-Hansen et al., 1965)",DOI,acidification method,Dalhousie University,52
HRM LakeWatchers 2023 Spring Lab Results,BELL_OUT,Bell Lake Outlet,44.671944,-63.506667,WGS84,Lake/Pond,Sample-Routine,Surface Water,8/15/2022 0:00,0,m,"Chlorophyll a, corrected for pheophytin",,,3.5,ug/L,Actual,,,,,"(Holm-Hansen et al., 1965)",DOI,acidification method,Dalhousie University,53
HRM LakeWatchers 2023 Spring Lab Results,BELL_OUT,Bell Lake Outlet,44.671944,-63.506667,WGS84,Lake/Pond,Sample-Routine,Surface Water,4/17/2023 0:00,0,m,"Chlorophyll a, corrected for pheophytin",,,1.8,ug/L,Actual,,,,,"(Holm-Hansen et al., 1965)",DOI,acidification method,Dalhousie University,54
HRM LakeWatchers 2023 Spring Lab Results,BELL_OUT,Bell Lake Outlet,44.671944,-63.506667,WGS84,Lake/Pond,Sample-Routine,Surface Water,8/4/2023 0:00,0,m,"Chlorophyll a, corrected for pheophytin",,,3.74,ug/L,Actual,,,,,"(Holm-Hansen et al., 1965)",DOI,acidification method,Dalhousie University,55
HRM Lakes Water Quality Monitoring Data,BELL_OUT,Bell Lake Outlet,44.671944,-63.506667,WGS84,Lake/Pond,Sample-Routine,Surface Water,5/6/2022 0:00,0,m,Escherichia coli,,,,,Actual,Below Detection/Quantification Limit,2,CFU/100mL,Reporting Limit,MOE E3371 R2 (2018),,ATL SOP 00097,Bureau Veritas (formerly Maxxam),56
HRM LakeWatchers 2023 Spring Lab Results,BELL_OUT,Bell Lake Outlet,44.671944,-63.506667,WGS84,Lake/Pond,Sample-Routine,Surface Water,8/15/2022 0:00,0,m,Escherichia coli,,,340,CFU/100ml,Actual,,2,CFU/100ml,Reporting Limit,MOE E3371 R2 (2018),PROPRIETARY,ATL SOP 00097,Bureau Veritas (formerly Maxxam),57
HRM LakeWatchers 2023 Spring Lab Results,BELL_OUT,Bell Lake Outlet,44.671944,-63.506667,WGS84,Lake/Pond,Sample-Routine,Surface Water,4/17/2023 0:00,0,m,Escherichia coli,,,2,CFU/100ml,Actual,,2,CFU/100ml,Reporting Limit,MOE E3371 R2 (2018),PROPRIETARY,ATL SOP 00097,Bureau Veritas (formerly Maxxam),58
HRM LakeWatchers 2023 Spring Lab Results,BELL_OUT,Bell Lake Outlet,44.671944,-63.506667,WGS84,Lake/Pond,Sample-Routine,Surface Water,8/4/2023 0:00,0,m,Escherichia coli,,,78,CFU/100ml,Actual,,2,CFU/100ml,Reporting Limit,MOE E3371 R2 (2018),PROPRIETARY,ATL SOP 00097,Bureau Veritas (formerly Maxxam),59
HRM Lakes Water Quality Monitoring Data,BELL_OUT,Bell Lake Outlet,44.671944,-63.506667,WGS84,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,5/6/2022 0:00,0,m,pH,,,7.34,None,Actual,,,,,,YSI,,,60
HRM Lakes Water Quality Monitoring Data,BELL_OUT,Bell Lake Outlet,44.671944,-63.506667,WGS84,Lake/Pond,Sample-Routine,Surface Water,5/6/2022 0:00,0,m,"Total Phosphorus, mixed forms",as P,Total,0.0034,mg/L,Actual,,0.001,mg/L,Reporting Limit,"SM 23 4500-P A,B,F m",,AB SOP-00024,Bureau Veritas (formerly Maxxam),61
HRM Lakes Water Quality Monitoring Data,BIGC_SD,Big Cranberry Lake Deep Water,44.659167,-63.709722,WGS84,Lake/Pond,Sample-Routine,Surface Water,5/11/2022 0:00,,m,Aluminum,,Total,250,ug/L,Actual,,5,ug/L,Reporting Limit,6020B R2 m,USEPA,ATL SOP 00058,Bureau Veritas (formerly Maxxam),62
HRM Lakes Water Quality Monitoring Data,BIGC_SD,Big Cranberry Lake Deep Water,44.659167,-63.709722,WGS84,Lake/Pond,Sample-Routine,Surface Water,5/11/2022 0:00,,m,Antimony,,Total,,,Actual,Below Detection/Quantification Limit,1,ug/L,Reporting Limit,6020B R2 m,USEPA,ATL SOP 00058,Bureau Veritas (formerly Maxxam),63
HRM Lakes Water Quality Monitoring Data,BIGC_SD,Big Cranberry Lake Deep Water,44.659167,-63.709722,WGS84,Lake/Pond,Sample-Routine,Surface Water,5/11/2022 0:00,,m,Arsenic,,Total,,,Actual,Below Detection/Quantification Limit,1,ug/L,Reporting Limit,6020B R2 m,USEPA,ATL SOP 00058,Bureau Veritas (formerly Maxxam),64
HRM Lakes Water Quality Monitoring Data,BIGC_OUT,Big Cranberry Lake Outlet,44.661667,-63.709722,WGS84,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,5/11/2022 0:00,0,m,Dissolved Oxygen (DO),,,9.84,mg/L,Actual,,,,,,YSI,,,65
HRM Lakes Water Quality Monitoring Data,BIS_OUT,Bissett Lake Outlet,44.6475,-63.46,WGS84,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,5/5/2022 0:00,0,m,Conductivity,,,0.273,ms/cm,Actual,,,,,,YSI,,,66
HRM Lakes Water Quality Monitoring Data,BIS_OUT,Bissett Lake Outlet,44.6475,-63.46,WGS84,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,5/5/2022 0:00,0,m,Dissolved Oxygen (DO),,,13.72,mg/L,Actual,,,,,,YSI,,,67
HRM Lakes Water Quality Monitoring Data,BIGC_SD,Big Cranberry Lake Deep Water,44.659167,-63.709722,WGS84,Lake/Pond,Sample-Routine,Surface Water,5/11/2022 0:00,,m,Beryllium,,Total,0.11,ug/L,Actual,,0.1,ug/L,Reporting Limit,6020B R2 m,USEPA,ATL SOP 00058,Bureau Veritas (formerly Maxxam),68
HRM Lakes Water Quality Monitoring Data,BIGC_SD,Big Cranberry Lake Deep Water,44.659167,-63.709722,WGS84,Lake/Pond,Sample-Routine,Surface Water,5/11/2022 0:00,,m,Bismuth,,Total,,,Actual,Below Detection/Quantification Limit,2,ug/L,Reporting Limit,6020B R2 m,USEPA,ATL SOP 00058,Bureau Veritas (formerly Maxxam),69
HRM Lakes Water Quality Monitoring Data,BIGC_SD,Big Cranberry Lake Deep Water,44.659167,-63.709722,WGS84,Lake/Pond,Sample-Routine,Surface Water,5/11/2022 0:00,,m,Boron,,Total,,,Actual,Below Detection/Quantification Limit,50,ug/L,Reporting Limit,6020B R2 m,USEPA,ATL SOP 00058,Bureau Veritas (formerly Maxxam),70
HRM LakeWatchers 2023 Spring Lab Results,BIGC_SD,Big Cranberry Lake Deep Water,44.659167,-63.709722,WGS84,Lake/Pond,Sample-Routine,Surface Water,5/4/2023 0:00,-2,m,Chloride,,Dissolved,3.8,mg/L,Actual,,1,mg/L,Reporting Limit,4500-Cl- E m,APHA_SM23ED,ATL SOP 00014,Bureau Veritas (formerly Maxxam),71
HRM LakeWatchers 2023 Spring Lab Results,BIGC_SD,Big Cranberry Lake Deep Water,44.659167,-63.709722,WGS84,Lake/Pond,Sample-Routine,Surface Water,8/22/2022 0:00,-3,m,Chloride,,Dissolved,4.5,mg/L,Actual,,1,mg/L,Reporting Limit,4500-Cl- E m,APHA_SM23ED,ATL SOP 00014,Bureau Veritas (formerly Maxxam),72
HRM LakeWatchers 2023 Spring Lab Results,BIGC_SD,Big Cranberry Lake Deep Water,44.659167,-63.709722,WGS84,Lake/Pond,Sample-Routine,Surface Water,8/16/2023 0:00,-2,m,Chloride,,Dissolved,37,mg/L,Actual,,1,mg/L,Reporting Limit,4500-Cl- E m,APHA_SM23ED,ATL SOP 00014,Bureau Veritas (formerly Maxxam),73
HRM LakeWatchers 2023 Spring Lab Results,BIGC_SD,Big Cranberry Lake Deep Water,44.659167,-63.709722,WGS84,Lake/Pond,Sample-Routine,Surface Water,8/16/2023 0:00,0,m,"Chlorophyll a, corrected for pheophytin",,,9.86,ug/L,Actual,,,,,"(Welschmeyer, 1994)",DOI,non-acidification method,Dalhousie University,74
